[1013/203508.970:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/build/three.js (21172)
[1013/203509.869:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1013/203509.876:INFO:CONSOLE(255)] "Loaded: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1013/203509.876:INFO:CONSOLE(271)] "load end: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1013/203520.901:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1013/203520.909:INFO:CONSOLE(255)] "Loaded: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1013/203520.910:INFO:CONSOLE(271)] "load end: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1013/203520.927:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1013/203520.929:INFO:CONSOLE(255)] "Loaded: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1013/203520.930:INFO:CONSOLE(271)] "load end: file:C:/Users/sueht/OneDrive/Documentos/Anylogic/loja/3d/officeworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1013/203520.947:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
